,ticker,security,industry
151,DRE,Duke Realty Corp,Real Estate
152,DD,DuPont de Nemours Inc,Materials
153,DXC,DXC Technology,Information Technology
154,EMN,Eastman Chemical,Materials
155,ETN,Eaton Corporation,Industrials
156,EBAY,eBay Inc.,Consumer Discretionary
157,ECL,Ecolab Inc.,Materials
158,EIX,Edison Int'l,Utilities
159,EW,Edwards Lifesciences,Health Care
160,EA,Electronic Arts,Communication Services
161,EMR,Emerson Electric Company,Industrials
162,ETR,Entergy Corp.,Utilities
163,EOG,EOG Resources,Energy
164,EFX,Equifax Inc.,Industrials
165,EQIX,Equinix,Real Estate
166,EQR,Equity Residential,Real Estate
167,ESS,"Essex Property Trust, Inc.",Real Estate
168,EL,Estée Lauder Companies,Consumer Staples
169,EVRG,Evergy,Utilities
170,ES,Eversource Energy,Utilities
171,RE,Everest Re Group Ltd.,Financials
172,EXC,Exelon Corp.,Utilities
173,EXPE,Expedia Group,Consumer Discretionary
174,EXPD,Expeditors,Industrials
175,EXR,Extra Space Storage,Real Estate
176,XOM,Exxon Mobil Corp.,Energy
177,FFIV,F5 Networks,Information Technology
178,FB,"Facebook, Inc.",Communication Services
179,FAST,Fastenal Co,Industrials
180,FRT,Federal Realty Investment Trust,Real Estate
181,FDX,FedEx Corporation,Industrials
182,FIS,Fidelity National Information Services,Information Technology
183,FITB,Fifth Third Bancorp,Financials
184,FE,FirstEnergy Corp,Utilities
185,FRC,First Republic Bank,Financials
186,FISV,Fiserv Inc,Information Technology
187,FLT,FleetCor Technologies Inc,Information Technology
188,FLIR,FLIR Systems,Information Technology
189,FLS,Flowserve Corporation,Industrials
190,FMC,FMC Corporation,Materials
191,F,Ford Motor Company,Consumer Discretionary
192,FTNT,Fortinet,Information Technology
193,FTV,Fortive Corp,Industrials
194,FBHS,Fortune Brands Home & Security,Industrials
195,FOXA,Fox Corporation (Class A),Communication Services
196,FOX,Fox Corporation (Class B),Communication Services
197,BEN,Franklin Resources,Financials
198,FCX,Freeport-McMoRan Inc.,Materials
199,GPS,Gap Inc.,Consumer Discretionary
200,GRMN,Garmin Ltd.,Consumer Discretionary
201,IT,Gartner Inc,Information Technology
202,GD,General Dynamics,Industrials
203,GE,General Electric,Industrials
204,GIS,General Mills,Consumer Staples
205,GM,General Motors,Consumer Discretionary
206,GPC,Genuine Parts,Consumer Discretionary
207,GILD,Gilead Sciences,Health Care
208,GL,Globe Life Inc.,Financials
209,GPN,Global Payments Inc.,Information Technology
210,GS,Goldman Sachs Group,Financials
211,GWW,Grainger (W.W.) Inc.,Industrials
212,HAL,Halliburton Co.,Energy
213,HBI,Hanesbrands Inc,Consumer Discretionary
214,HIG,Hartford Financial Svc.Gp.,Financials
215,HAS,Hasbro Inc.,Consumer Discretionary
216,HCA,HCA Healthcare,Health Care
217,PEAK,Healthpeak Properties,Real Estate
218,HSIC,Henry Schein,Health Care
219,HSY,The Hershey Company,Consumer Staples
220,HES,Hess Corporation,Energy
221,HPE,Hewlett Packard Enterprise,Information Technology
222,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
223,HFC,HollyFrontier Corp,Energy
224,HOLX,Hologic,Health Care
225,HD,Home Depot,Consumer Discretionary
226,HON,Honeywell Int'l Inc.,Industrials
227,HRL,Hormel Foods Corp.,Consumer Staples
228,HST,Host Hotels & Resorts,Real Estate
229,HWM,Howmet Aerospace,Industrials
230,HPQ,HP Inc.,Information Technology
231,HUM,Humana Inc.,Health Care
232,HBAN,Huntington Bancshares,Financials
233,HII,Huntington Ingalls Industries,Industrials
234,IEX,IDEX Corporation,Industrials
235,IDXX,IDEXX Laboratories,Health Care
236,INFO,IHS Markit Ltd.,Industrials
237,ITW,Illinois Tool Works,Industrials
238,ILMN,Illumina Inc,Health Care
239,INCY,Incyte,Health Care
240,INTC,Intel Corp.,Information Technology
241,ICE,Intercontinental Exchange,Financials
242,IBM,International Business Machines,Information Technology
243,IP,International Paper,Materials
244,IPG,Interpublic Group,Communication Services
245,IFF,International Flavors & Fragrances,Materials
246,INTU,Intuit Inc.,Information Technology
247,ISRG,Intuitive Surgical Inc.,Health Care
248,IVZ,Invesco Ltd.,Financials
249,IPGP,IPG Photonics Corp.,Information Technology
250,IQV,IQVIA Holdings Inc.,Health Care
251,IRM,Iron Mountain Incorporated,Real Estate
252,JKHY,Jack Henry & Associates,Information Technology
253,J,Jacobs Engineering Group,Industrials
254,JBHT,J. B. Hunt Transport Services,Industrials
255,SJM,JM Smucker,Consumer Staples
256,JNJ,Johnson & Johnson,Health Care
257,JCI,Johnson Controls International,Industrials
258,JPM,JPMorgan Chase & Co.,Financials
259,JNPR,Juniper Networks,Information Technology
260,KSU,Kansas City Southern,Industrials
261,K,Kellogg Co.,Consumer Staples
262,KEY,KeyCorp,Financials
263,KEYS,Keysight Technologies,Information Technology
264,KMB,Kimberly-Clark,Consumer Staples
265,KIM,Kimco Realty,Real Estate
266,KMI,Kinder Morgan,Energy
267,KLAC,KLA Corporation,Information Technology
268,KHC,Kraft Heinz Co,Consumer Staples
269,KR,Kroger Co.,Consumer Staples
270,LB,L Brands Inc.,Consumer Discretionary
271,LHX,L3Harris Technologies,Industrials
272,LH,Laboratory Corp. of America Holding,Health Care
273,LRCX,Lam Research,Information Technology
274,LW,Lamb Weston Holdings Inc,Consumer Staples
275,LVS,Las Vegas Sands,Consumer Discretionary
276,LEG,Leggett & Platt,Consumer Discretionary
277,LDOS,Leidos Holdings,Information Technology
278,LEN,Lennar Corp.,Consumer Discretionary
279,LLY,Lilly (Eli) & Co.,Health Care
280,LNC,Lincoln National,Financials
281,LIN,Linde plc,Materials
282,LYV,Live Nation Entertainment,Communication Services
283,LKQ,LKQ Corporation,Consumer Discretionary
284,LMT,Lockheed Martin Corp.,Industrials
285,L,Loews Corp.,Financials
286,LOW,Lowe's Cos.,Consumer Discretionary
287,LUMN,Lumen Technologies,Communication Services
288,LYB,LyondellBasell,Materials
289,MTB,M&T Bank Corp.,Financials
290,MRO,Marathon Oil Corp.,Energy
291,MPC,Marathon Petroleum,Energy
292,MKTX,MarketAxess,Financials
293,MAR,Marriott Int'l.,Consumer Discretionary
294,MMC,Marsh & McLennan,Financials
295,MLM,Martin Marietta Materials,Materials
296,MAS,Masco Corp.,Industrials
297,MA,Mastercard Inc.,Information Technology
298,MKC,McCormick & Co.,Consumer Staples
299,MXIM,Maxim Integrated Products Inc,Information Technology
300,MCD,McDonald's Corp.,Consumer Discretionary
301,MCK,McKesson Corp.,Health Care
302,MDT,Medtronic plc,Health Care
303,MRK,Merck & Co.,Health Care
304,MET,MetLife Inc.,Financials
305,MTD,Mettler Toledo,Health Care
